"first_name","last_name","email","tag_title","dept","team","lr_id","lr_company_id","lr_user_id","lr_leave_type_id","lr_to_date","lr_from_date","lr_leave_duration","lr_reason","lr_actioned_by","lr_actioned_at","lr_actioned_reason","lr_status","created_at","created_by","updated_at","updated_by"
"Lovely","Soni","testlovelys111@mailinator.com","@lovely.soni","#marketing","$Digital Marketing","1","85","38537","23","22/1/2025","20/1/2025","0","Attend sister-in-laws wedding",,,,"0","9/7/2025 10:14:10","38537",,
"Diksha","Verma","testdikshav111@mailinator.com","@Diksha.verma","#Support","$Sales","2","85","33834","23","4/1/2025","4/1/2025","0","Attend convocation ceremony",,,,"0","9/7/2025 10:18:42","33834",,
"Kirti","Kumawat(Developer)","kirti.kumawat@mailinator.com","@kirti.kumawat","#Backend","$development","3","85","26738","23","24/1/2025","21/1/2025","0","Going to out of jaipur.",,,,"0","9/7/2025 10:32:11","26738",,
"Kirti","Kumawat(Developer)","kirti.kumawat@mailinator.com","@kirti.kumawat","#Backend","$development","4","85","26738","23","19/2/2025","19/2/2025","0","Attend family wedding ",,,,"0","10/7/2025 04:52:15","26738",,
"Kirti","Kumawat(Developer)","kirti.kumawat@mailinator.com","@kirti.kumawat","#Backend","$development","5","85","26738","23",,"20/2/2025","2","Attend family wedding",,,,"0","10/7/2025 04:53:33","26738",,
"Kirti","Kumawat(Developer)","kirti.kumawat@mailinator.com","@kirti.kumawat","#Backend","$development","6","85","26738","23","21/2/2025","21/2/2025","2","Attend family wedding",,,,"0","10/7/2025 04:55:13","26738","10/7/2025 04:58:52","26738"
"Sagar","Modi(Development)","testmodisagar112@mailintor.com","@sagar.modi","#development","$management","7","85","119","23","11/7/2025","11/7/2025","0","Some work at home","85","10/7/2025 05:55:39","thanks ","1","10/7/2025 05:48:44","119","10/7/2025 05:55:39","85"
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","8","85","42668","23","1/3/2025","28/2/2025","0","Attend family function",,,,"0","10/7/2025 07:19:17","42668",,
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","9","85","42668","23",,"7/2/2025","1","Attend some personal work",,,,"0","10/7/2025 07:36:24","42668",,
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","10","85","42668","23",,"29/3/2025","1","Fever",,,,"0","10/7/2025 07:38:42","42668",,
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","11","85","42668","23",,"9/4/2025","1","Fever",,,,"0","10/7/2025 07:40:09","42668",,
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","12","85","42668","23","19/4/2025","19/4/2025","0","Out of station",,,,"0","10/7/2025 07:41:26","42668",,
